connected to mqtt://192.168.0.153:1883  (read-only scan)

--- 0x0000..0x07FF   explicit range
  0x0000..0x0007  8 answered  0.5s
  0x0008..0x000F  8 answered  0.5s
  0x0010..0x0017  8 answered  0.5s
  0x0018..0x001F  8 answered  0.5s
  0x0020..0x0027  8 answered  0.5s
  0x0028..0x002F  8 answered  0.5s
  0x0030..0x0037  8 answered  0.5s
  0x0038..0x003F  8 answered  0.5s
  0x0040..0x0047  8 answered  0.5s
  0x0048..0x004F  8 answered  0.5s
  0x0050..0x0057  8 answered  0.5s
  0x0058..0x005F  8 answered  0.5s
  0x0060..0x0067  8 answered  0.5s
  0x0068..0x006F  8 answered  0.5s
  0x0070..0x0077  8 answered  0.5s
  0x0078..0x007F  8 answered  0.5s
  0x0080..0x0087  8 answered  0.5s
  0x0088..0x008F  8 answered  0.5s
  0x0090..0x0097  8 answered  0.5s
  0x0098..0x009F  8 answered  0.5s
  0x00A0..0x00A7  8 answered  0.5s
  0x00A8..0x00AF  8 answered  0.5s
  0x00B0..0x00B7  8 answered  0.5s
  0x00B8..0x00BF  8 answered  0.5s
  0x00C0..0x00C7  8 answered  0.5s
  0x00C8..0x00CF  8 answered  0.5s
  0x00D0..0x00D7  8 answered  0.5s
  0x00D8..0x00DF  8 answered  0.5s
  0x00E0..0x00E7  8 answered  0.5s
  0x00E8..0x00EF  8 answered  0.5s
  0x00F0..0x00F7  8 answered  0.5s
  0x00F8..0x00FF  8 answered  0.5s
  0x0100..0x0107  8 answered  0.5s
  0x0108..0x010F  8 answered  0.5s
  0x0110..0x0117  8 answered  0.5s
  0x0118..0x011F  8 answered  0.6s
  0x0120..0x0127  8 answered  0.5s
  0x0128..0x012F  8 answered  0.5s
  0x0130..0x0137  8 answered  0.5s
  0x0138..0x013F  8 answered  0.5s
  0x0140..0x0147  8 answered  0.5s
  0x0148..0x014F  8 answered  0.5s
  0x0150..0x0157  8 answered  0.5s
  0x0158..0x015F  8 answered  0.5s
  0x0160..0x0167  8 answered  0.5s
  0x0168..0x016F  8 answered  0.5s
  0x0170..0x0177  8 answered  0.5s
  0x0178..0x017F  8 answered  0.5s
  0x0180..0x0187  8 answered  0.5s
  0x0188..0x018F  8 answered  0.5s
  0x0190..0x0197  8 answered  0.5s
  0x0198..0x019F  8 answered  0.5s
  0x01A0..0x01A7  8 answered  0.5s
  0x01A8..0x01AF  8 answered  0.5s
  0x01B0..0x01B7  8 answered  0.5s
  0x01B8..0x01BF  8 answered  0.5s
  0x01C0..0x01C7  8 answered  0.5s
  0x01C8..0x01CF  8 answered  0.5s
  0x01D0..0x01D7  8 answered  0.5s
  0x01D8..0x01DF  8 answered  0.5s
  0x01E0..0x01E7  8 answered  0.5s
  0x01E8..0x01EF  8 answered  0.5s
  0x01F0..0x01F7  8 answered  0.5s
  0x01F8..0x01FF  8 answered  0.5s
  0x0200..0x0207  8 answered  0.5s
  0x0208..0x020F  8 answered  0.5s
  0x0210..0x0217  8 answered  0.5s
  0x0218..0x021F  8 answered  0.5s
  0x0220..0x0227  8 answered  0.5s
  0x0228..0x022F  8 answered  0.5s
  0x0230..0x0237  8 answered  0.5s
  0x0238..0x023F  8 answered  0.5s
  0x0240..0x0247  8 answered  0.5s
  0x0248..0x024F  8 answered  0.5s
  0x0250..0x0257  8 answered  0.5s
  0x0258..0x025F  8 answered  0.5s
  0x0260..0x0267  8 answered  0.5s
  0x0268..0x026F  8 answered  0.5s
  0x0270..0x0277  8 answered  0.5s
  0x0278..0x027F  8 answered  0.5s
  0x0280..0x0287  8 answered  0.5s
  0x0288..0x028F  8 answered  0.5s
  0x0290..0x0297  8 answered  0.5s
  0x0298..0x029F  8 answered  0.5s
  0x02A0..0x02A7  8 answered  0.5s
  0x02A8..0x02AF  8 answered  0.5s
  0x02B0..0x02B7  8 answered  0.5s
  0x02B8..0x02BF  8 answered  0.5s
  0x02C0..0x02C7  8 answered  0.5s
  0x02C8..0x02CF  8 answered  0.5s
  0x02D0..0x02D7  8 answered  0.5s
  0x02D8..0x02DF  8 answered  0.5s
  0x02E0..0x02E7  8 answered  0.5s
  0x02E8..0x02EF  8 answered  0.5s
  0x02F0..0x02F7  8 answered  0.5s
  0x02F8..0x02FF  8 answered  0.5s
  0x0300..0x0307  8 answered  0.5s
  0x0308..0x030F  8 answered  0.5s
  0x0310..0x0317  8 answered  0.5s
  0x0318..0x031F  8 answered  0.5s
  0x0320..0x0327  8 answered  0.5s
  0x0328..0x032F  8 answered  0.5s
  0x0330..0x0337  8 answered  0.5s
  0x0338..0x033F  8 answered  0.5s
  0x0340..0x0347  8 answered  0.5s
  0x0348..0x034F  8 answered  0.5s
  0x0350..0x0357  8 answered  0.5s
  0x0358..0x035F  8 answered  0.5s
  0x0360..0x0367  8 answered  0.5s
  0x0368..0x036F  8 answered  0.5s
  0x0370..0x0377  8 answered  0.5s
  0x0378..0x037F  8 answered  0.5s
  0x0380..0x0387  8 answered  0.5s
  0x0388..0x038F  8 answered  0.5s
  0x0390..0x0397  8 answered  0.5s
  0x0398..0x039F  8 answered  0.5s
  0x03A0..0x03A7  8 answered  0.5s
  0x03A8..0x03AF  8 answered  0.5s
  0x03B0..0x03B7  8 answered  0.5s
  0x03B8..0x03BF  8 answered  0.5s
  0x03C0..0x03C7  8 answered  0.5s
  0x03C8..0x03CF  8 answered  0.5s
  0x03D0..0x03D7  8 answered  0.5s
  0x03D8..0x03DF  8 answered  0.5s
  0x03E0..0x03E7  8 answered  0.5s
  0x03E8..0x03EF  8 answered  0.5s
  0x03F0..0x03F7  8 answered  0.5s
  0x03F8..0x03FF  8 answered  0.5s
  0x0400..0x0407  8 answered  0.5s
  0x0408..0x040F  8 answered  0.5s
  0x0410..0x0417  8 answered  0.5s
  0x0418..0x041F  8 answered  0.5s
  0x0420..0x0427  8 answered  0.5s
  0x0428..0x042F  8 answered  0.5s
  0x0430..0x0437  8 answered  0.5s
  0x0438..0x043F  8 answered  0.5s
  0x0440..0x0447  8 answered  0.5s
